steam_id,recommendationid,author_steamid,playtime_forever,review,voted_up,votes_up,timestamp_created
2357570,223468978,76561199089548984,17793,"So, actually I like that game so I should give an up vote, but...man... ♥♥♥♥ that cat. even Imp from PvZ GW2 wasn't that annoying like that ♥♥♥♥♥♥♥ cat",False,3,1776451019
2357570,223463070,76561199875001815,7726,fajne,True,0,1776446157
2357570,223455592,76561198325162852,19839,Gówno,False,0,1776440506
2357570,223442400,76561198934275870,4105,bro i just said one nword and they give me a ban for a long time they are terible like nword,False,0,1776429971
2357570,223394802,76561198770246103,3481, FFHJFG,True,0,1776369032
2357570,223392106,76561198351339991,5994,Lesser Marvel Rivals,False,0,1776366426
2357570,223382883,76561199401401557,1458,not bad,True,0,1776357231
2357570,223378789,76561199832229102,6200,Bardzo fajna gra .,True,0,1776353262
2357570,223327341,76561198900591792,79,♥♥♥♥♥♥ gowno,False,0,1776280783
2357570,223315220,76561199045329293,115,"Ta gra odmieniła moje zycie, jeszce 2,6 godziny temu byłem szcześliwym rodzicem miałem żone i dzieci po upływie 30 minut w tę genialną gre zaczełem szanować osoby LGBTQ+ , 1h temu zadzwolniłem do kolegi żebym mógł mu obciągnąć,l kiedyś byłoby to nie do pomyslenia a teraz uwielbiam wielkie czarne kutasy i aktualnie szukam chłopaka/dziewczyny/osoby nie binarnej alby mogła zrobic mi kastracje ponieważ chciałbym wstąpić w szeregi partii komunistycznej i obciagac każdemu kutasy. Dziękuje za moją spowiedz. ps Lubie w dupe",False,2,1776268450
2357570,223314346,76561199575600855,49886,"bany leca za nic, spolecznosc wrazliwa na krytyke, fake reporty, administracja nie istnieje. odradzam
",False,0,1776267618
2357570,223310037,76561198355296316,3142,Nie mogę grać ponieważ wywala mnie na amerykańskie serwery z 200-400 pingu a blizzard od ponad roku nic z tym nie robi i odsyła do dostawcy internetu xD,False,7,1776263387
2357570,223309261,76561199000603839,9941,.,True,0,1776262610
2357570,223286891,76561199816342303,6694,to jest dobra gra ale powinny być dodane to co było w 1 część ovewatch czyli za gady poziom powinne byc skrzyki np epickie lubco 5 poziomów legendarne,True,0,1776225976
2357570,223270401,76561199224999120,1071,Nice game,True,0,1776202078
2357570,223260243,76561198976419748,32611,jak gram to glownie gram stopa bo mam zajeta reke jak gram genjim,True,1,1776191473
2357570,223256039,76561199230339256,81,ta gra to tf dla osob z adhd i autyzmem jebac ja,False,0,1776187570
2357570,223237990,76561198408133236,1978,"best chance to hop in,
overwatch is in best state since YEARS",True,1,1776169100
